mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
18.5,6,250.0,98.00,3525,19.0,77,1,"ford granada"
22.0,6,250.0,105.0,3353,14.5,76,1,"chevrolet nova"
34.0,4,112.0,88.00,2395,18.0,82,1,"chevrolet cavalier 2-door"
25.0,4,116.0,81.00,2220,16.9,76,2,"opel 1900"
14.0,8,304.0,150.0,3672,11.5,73,1,"amc matador"
15.0,8,350.0,145.0,4440,14.0,75,1,"chevrolet bel air"
27.9,4,156.0,105.0,2800,14.4,80,1,"dodge colt"
32.0,4,144.0,96.00,2665,13.9,82,3,"toyota celica gt"
17.0,8,304.0,150.0,3672,11.5,72,1,"amc ambassador sst"
22.5,6,232.0,90.00,3085,17.6,76,1,"amc hornet"
20.6,6,231.0,105.0,3380,15.8,78,1,"buick century special"
15.5,8,351.0,142.0,4054,14.3,79,1,"ford country squire (sw)"
13.0,8,302.0,129.0,3169,12.0,75,1,"ford mustang ii"
